batch,campaign,Polymer_pct,Hardness_kP,Q12h
K001,C1,19.01,11.47,55.539
K002,C1,20.21,10.06,57.938
K003,C1,19.99,10.85,56.34
K004,C1,20.4,8.68,55.711
K005,C1,18.94,11.02,57.222
K006,C1,20.89,11.86,55.633
K007,C1,20.08,10.56,56.2
K008,C1,19.06,9.81,57.837
K009,C1,18.91,10.86,57.465
K010,C1,18.95,8.27,58.821
K011,C2,21.71,11.31,54.688
K012,C2,23.23,9.99,56.054
K013,C2,23.0,9.45,54.243
K014,C2,21.85,10.07,56.272
K015,C2,21.85,8.87,55.79
K016,C2,23.83,8.92,55.847
K017,C2,23.01,11.15,54.183
K018,C2,21.64,9.69,56.319
K019,C2,22.17,11.3,57.459
K020,C2,21.94,11.92,57.318
K021,C3,24.69,10.98,62.113
K022,C3,25.27,8.75,62.778
K023,C3,24.35,11.4,63.649
K024,C3,24.87,9.83,62.788
K025,C3,25.03,11.02,63.37
K026,C3,25.2,8.55,63.072
K027,C3,24.07,9.03,60.57
K028,C3,24.39,10.6,63.214
K029,C3,26.15,10.57,65.043
K030,C3,24.42,8.36,62.208
K031,C4,26.88,11.16,57.638
K032,C4,27.21,11.82,57.788
K033,C4,26.4,9.74,57.446
K034,C4,26.55,9.83,57.818
K035,C4,28.2,10.33,57.046
K036,C4,27.89,9.13,59.305
K037,C4,25.97,9.65,58.242
K038,C4,26.91,10.97,58.481
K039,C4,25.83,8.77,58.375
K040,C4,25.63,9.42,57.764
K041,C5,29.15,11.82,53.83
K042,C5,30.36,11.94,52.644
K043,C5,29.08,8.63,55.876
K044,C5,30.32,11.77,53.534
K045,C5,28.3,8.44,53.55
K046,C5,29.25,9.83,54.398
K047,C5,29.21,8.87,56.476
K048,C5,29.21,8.69,54.698
K049,C5,29.94,10.25,53.963
K050,C5,29.6,9.18,54.482
K051,C6,30.99,10.74,51.578
K052,C6,30.35,8.79,51.324
K053,C6,30.99,10.91,53.263
K054,C6,31.41,11.45,48.413
K055,C6,30.99,10.09,51.433
K056,C6,30.21,10.52,51.534
K057,C6,30.02,11.12,52.329
K058,C6,32.08,11.29,50.567
K059,C6,31.63,9.13,52.692
K060,C6,30.96,11.12,53.529
K061,C7,34.07,9.66,52.254
K062,C7,34.11,10.36,50.819
K063,C7,33.54,11.4,51.682
K064,C7,33.37,11.08,52.159
K065,C7,34.63,9.02,50.865
K066,C7,34.4,9.33,50.664
K067,C7,34.86,8.37,53.357
K068,C7,34.52,9.08,52.757
K069,C7,33.92,11.5,51.216
K070,C7,33.35,11.18,51.645
K071,C8,35.73,10.64,53.996
K072,C8,35.52,11.51,53.389
K073,C8,36.05,11.29,54.308
K074,C8,36.17,9.18,54.454
K075,C8,36.93,8.58,53.249
K076,C8,37.08,11.29,52.199
K077,C8,35.99,8.15,53.463
K078,C8,36.31,9.24,51.945
K079,C8,35.06,9.26,53.963
K080,C8,35.46,9.0,55.882
