site,campaign,Polymer_pct,Q12h
S1,C1,27.635,2.4271
S1,C2,26.332,-0.9468
S1,C3,26.93,-0.1766
S1,C4,25.604,-1.1886
S1,C5,28.08,-0.0513
S1,C6,26.151,0.2421
S2,C1,29.757,3.3348
S2,C2,26.922,-0.081
S2,C3,26.938,0.7702
S2,C4,32.612,3.384
S2,C5,25.823,-0.5179
S2,C6,23.296,-2.8957
S3,C1,29.099,1.4983
S3,C2,21.766,-3.3498
S3,C3,28.793,-0.8271
S3,C4,30.945,0.9412
S3,C5,28.21,-0.8752
S3,C6,28.028,-0.5316
S4,C1,21.848,-5.049
S4,C2,29.666,-1.0875
S4,C3,29.189,-0.3188
S4,C4,24.484,-3.2005
S4,C5,33.74,4.0061
S4,C6,24.328,-3.4311
S5,C1,22.962,-3.9127
S5,C2,22.567,-5.9271
S5,C3,28.078,-0.7023
S5,C4,29.014,-3.5571
S5,C5,29.323,1.9389
S5,C6,26.988,-2.6741
S1,C1,25.562,-1.7652
S1,C2,30.528,0.9746
S1,C3,25.307,-0.5834
S1,C4,24.37,-1.9317
S1,C5,32.204,4.6295
S1,C6,28.533,1.7999
S2,C1,29.414,1.3865
S2,C2,29.878,1.9006
S2,C3,26.285,-2.3004
S2,C4,26.401,-1.635
S2,C5,29.922,3.5158
S2,C6,26.149,-1.4786
S3,C1,29.008,2.7065
S3,C2,27.732,0.1904
S3,C3,24.417,-4.0418
S3,C4,30.899,1.2546
S3,C5,24.132,-1.9854
S3,C6,28.699,0.2386
S4,C1,28.201,0.1834
S4,C2,31.8,1.1421
S4,C3,24.641,-3.2741
S4,C4,26.37,-2.3105
S4,C5,27.699,-0.062
S4,C6,28.543,0.1765
S5,C1,30.605,0.2641
S5,C2,28.933,-0.9665
S5,C3,28.075,-1.5617
S5,C4,31.085,-2.0159
S5,C5,34.288,1.9274
S5,C6,23.933,-3.1884
S1,C1,27.983,2.3621
S1,C2,30.279,2.3199
S1,C3,28.257,0.3637
S1,C4,32.304,3.3434
S1,C5,26.997,1.104
S1,C6,24.958,-2.4484
S2,C1,30.612,3.3177
S2,C2,19.681,-5.9572
S2,C3,26.573,-0.3873
S2,C4,35.098,5.0369
S2,C5,28.079,3.2891
S2,C6,29.073,0.32
S3,C1,25.145,-2.2521
S3,C2,27.93,-0.1413
S3,C3,27.573,-0.2591
S3,C4,33.575,3.2066
S3,C5,24.97,-2.7588
S3,C6,19.715,-5.6893
S4,C1,29.22,-0.0263
S4,C2,32.65,3.1709
S4,C3,25.934,-2.468
S4,C4,22.529,-5.2979
S4,C5,24.782,-2.2204
S4,C6,29.301,-0.75
S5,C1,26.313,-2.414
S5,C2,28.127,-3.3316
S5,C3,20.927,-6.8452
S5,C4,26.439,-4.6832
S5,C5,30.365,1.0761
S5,C6,27.206,-2.268
S1,C1,24.928,0.6652
S1,C2,31.156,0.4166
S1,C3,30.961,3.646
S1,C4,26.604,-0.4166
S1,C5,25.775,-0.0556
S1,C6,31.834,5.4964
S2,C1,26.35,-0.8595
S2,C2,27.51,0.7058
S2,C3,33.403,5.6935
S2,C4,28.561,1.1933
S2,C5,26.514,0.3685
S2,C6,22.071,-1.8757
S3,C1,28.106,-0.3307
S3,C2,27.74,-1.1833
S3,C3,26.128,-2.4115
S3,C4,30.777,1.5228
S3,C5,24.126,-2.1535
S3,C6,23.251,-0.9652
S4,C1,25.636,-1.2446
S4,C2,27.837,-2.5367
S4,C3,23.41,-3.3095
S4,C4,24.374,-5.0582
S4,C5,25.366,-2.2489
S4,C6,27.726,-0.5021
S5,C1,25.689,-4.2681
S5,C2,30.719,-1.0669
S5,C3,21.135,-7.4733
S5,C4,28.962,-2.2264
S5,C5,25.952,-3.0034
S5,C6,29.119,-1.1194
