batch,t_0h,t_1h,t_2h,t_4h,t_6h,t_8h,t_12h,t_16h,t_20h,t_24h
B001,0.0,0.35,6.78,16.14,18.47,24.49,29.73,39.23,42.19,45.99
B002,3.83,7.58,11.88,23.1,30.13,38.08,45.38,56.1,62.75,65.9
B003,0.24,7.47,18.29,23.37,31.54,37.19,48.89,57.68,65.46,68.78
B004,0.0,9.18,17.51,34.34,40.64,45.16,55.59,64.49,72.32,77.41
B005,0.0,1.09,7.37,9.7,11.75,14.96,19.8,20.87,29.65,31.69
B006,0.0,1.4,5.13,5.13,7.14,12.47,16.61,17.57,23.05,24.73
B007,0.45,3.67,10.71,17.63,22.12,26.68,28.15,40.86,46.13,50.9
B008,0.0,3.98,7.26,10.8,14.39,20.4,22.96,31.39,34.74,37.42
B009,0.0,4.39,10.83,16.98,21.17,25.2,35.54,43.38,47.61,53.47
B010,0.0,2.14,3.1,6.56,6.56,11.45,13.9,18.17,20.23,24.1
B011,0.0,5.14,5.14,8.17,13.52,18.43,22.09,26.04,28.51,34.19
B012,0.0,13.41,18.93,26.68,40.57,43.96,54.24,66.04,70.15,74.74
B013,0.33,3.89,6.01,6.01,13.5,14.44,16.96,20.3,23.69,28.64
B014,0.0,8.18,16.79,25.93,32.61,40.84,52.28,56.71,63.92,71.5
B015,1.08,4.35,8.56,9.83,13.21,17.65,25.29,29.21,34.35,37.81
B016,0.0,7.3,15.41,25.65,31.47,38.38,48.34,58.2,64.11,71.72
B017,0.0,3.32,5.42,7.56,11.88,11.88,21.48,21.48,27.53,27.87
B018,1.73,5.15,10.04,16.58,23.76,26.54,30.94,41.2,48.54,52.73
B019,1.15,9.78,13.63,20.5,31.98,37.61,45.46,56.93,59.63,63.75
B020,0.0,8.29,10.03,22.16,24.36,32.74,41.51,48.1,56.32,57.84
B021,2.04,11.05,17.74,31.09,40.44,47.28,60.42,67.44,74.18,76.48
B022,0.16,10.49,16.03,26.53,34.65,41.9,51.05,58.82,64.55,69.68
B023,1.76,4.61,9.31,11.81,15.63,21.2,31.82,37.92,42.22,45.28
B024,0.0,3.84,6.9,8.91,15.88,20.9,30.46,34.43,41.55,43.53
B025,0.0,0.0,9.31,15.32,22.11,23.11,31.51,36.67,41.45,46.97
B026,0.0,9.06,12.03,18.99,27.13,33.05,41.38,51.91,53.83,61.77
B027,1.0,1.0,3.74,7.43,8.2,8.2,11.63,17.59,18.97,21.08
B028,0.66,2.83,2.83,4.74,7.3,8.01,11.79,16.79,16.79,22.8
B029,2.82,2.82,7.09,12.91,15.61,19.52,27.04,34.3,37.52,45.55
B030,0.43,4.23,9.76,13.91,18.14,21.2,31.58,36.2,40.03,42.71
B031,0.56,2.56,4.82,12.22,17.57,23.08,28.58,35.37,37.59,44.06
B032,0.19,8.77,12.81,22.16,26.99,34.1,43.81,49.03,57.53,62.12
B033,0.0,10.21,14.3,23.25,31.77,39.12,51.8,57.56,65.13,71.87
B034,0.8,5.35,5.71,12.08,14.69,19.85,22.8,28.39,36.13,38.12
B035,0.0,6.14,9.22,19.17,21.08,27.76,37.03,43.4,48.33,53.38
B036,0.64,6.36,14.41,20.06,28.77,35.85,44.06,54.97,60.52,64.41
B037,0.0,4.36,11.44,17.17,23.09,30.18,42.96,47.31,54.2,58.61
B038,1.17,1.17,3.89,8.2,10.64,12.98,16.92,21.66,24.62,25.58
B039,0.0,3.01,6.31,9.58,9.58,13.02,17.19,18.49,20.36,26.07
B040,0.0,6.8,13.35,18.7,27.79,35.53,44.05,52.19,59.28,65.96
B041,0.23,7.35,9.22,14.71,21.2,24.37,32.18,38.62,41.66,50.11
B042,0.0,7.39,15.02,20.6,27.56,36.4,45.05,53.59,58.07,65.13
B043,0.0,3.75,9.12,13.11,20.08,26.89,28.32,36.14,44.51,47.5
B044,1.74,6.38,13.97,22.26,30.05,36.61,44.56,52.93,63.25,67.05
B045,0.16,8.11,14.2,20.63,27.89,37.3,45.31,54.09,58.22,66.45
B046,0.52,3.01,4.8,5.68,6.63,10.14,18.4,21.66,22.61,25.84
B047,1.55,7.69,11.61,24.52,30.73,32.54,46.17,55.02,62.15,67.12
B048,0.0,4.28,8.14,12.75,17.25,23.84,27.76,34.82,37.68,46.3
