batch,Polymer_pct,Filler_pct,Lubricant_pct,Hardness_kP,Q1h,Q6h,Q12h,Q24h,Weibull_alpha,Weibull_beta
B001,30.92,47.91,0.723,6.67,0.35,18.47,29.73,45.99,19.443,0.7867
B002,21.74,52.84,1.959,12.66,7.58,30.13,45.38,65.9,11.89,0.8106
B003,16.02,63.88,1.835,12.3,7.47,31.54,48.89,68.78,10.961,0.8092
B004,15.41,59.92,1.734,7.91,9.18,40.64,55.59,77.41,8.334,0.7917
B005,35.33,42.96,1.22,13.01,1.09,11.75,19.8,31.69,32.612,0.812
B006,37.82,38.35,0.849,6.47,1.4,7.14,16.61,24.73,41.925,0.7859
B007,30.17,50.07,1.703,8.69,3.67,22.12,28.15,50.9,17.464,0.7948
B008,33.24,44.69,1.885,7.2,3.98,14.39,22.96,37.42,25.129,0.7888
B009,28.59,52.04,0.899,9.6,4.39,21.17,35.54,53.47,16.826,0.7984
B010,38.38,38.4,1.308,12.37,2.14,6.56,13.9,24.1,48.624,0.8095
B011,35.4,43.8,1.164,7.85,5.14,13.52,22.09,34.19,29.256,0.7914
B012,15.07,60.82,1.897,6.42,13.41,40.57,54.24,74.74,8.686,0.7857
B013,36.44,39.34,0.561,9.24,3.89,13.5,16.96,28.64,37.595,0.7969
B014,15.84,63.8,1.598,7.59,8.18,32.61,52.28,71.5,10.215,0.7904
B015,33.24,42.15,1.422,6.73,4.35,13.21,25.29,37.81,24.446,0.7869
B016,19.39,61.71,0.543,10.64,7.3,31.47,48.34,71.72,10.844,0.8026
B017,36.58,41.56,1.579,8.39,3.32,11.88,21.48,27.87,35.55,0.7936
B018,28.54,50.36,0.524,11.38,5.15,23.76,30.94,52.73,16.945,0.8055
B019,22.49,54.94,1.637,7.6,9.78,31.98,45.46,63.75,11.599,0.7904
B020,25.57,49.3,1.269,13.54,8.29,24.36,41.51,57.84,14.476,0.8141
B021,15.71,59.74,1.894,8.92,11.05,40.44,60.42,76.48,8.458,0.7957
B022,18.11,61.44,0.599,6.84,10.49,34.65,51.05,69.68,9.86,0.7874
B023,31.77,46.85,1.762,11.03,4.61,15.63,31.82,45.28,20.6,0.8041
B024,31.18,45.04,0.6,13.42,3.84,15.88,30.46,43.53,22.813,0.8137
B025,30.38,45.31,1.016,9.52,0.0,22.11,31.51,46.97,19.3,0.7981
B026,24.59,53.2,1.145,13.64,9.06,27.13,41.38,61.77,13.724,0.8145
B027,39.93,38.05,1.949,10.0,1.0,8.2,11.63,21.08,53.641,0.8
B028,39.52,35.17,1.343,9.4,2.83,7.3,11.79,22.8,56.831,0.7976
B029,32.14,47.08,0.888,10.96,2.82,15.61,27.04,45.55,23.024,0.8038
B030,31.26,48.78,0.863,13.96,4.23,18.14,31.58,42.71,22.305,0.8158
B031,32.21,42.68,1.832,13.59,2.56,17.57,28.58,44.06,22.877,0.8144
B032,24.72,51.56,0.839,9.68,8.77,26.99,43.81,62.12,12.872,0.7987
B033,18.38,58.93,0.687,12.06,10.21,31.77,51.8,71.87,10.896,0.8082
B034,33.04,42.28,0.932,9.98,5.35,14.69,22.8,38.12,26.215,0.7999
B035,28.13,46.93,1.379,10.23,6.14,21.08,37.03,53.38,16.108,0.8009
B036,22.76,53.42,1.331,12.29,6.36,28.77,44.06,64.41,12.141,0.8091
B037,27.15,47.98,1.715,9.32,4.36,23.09,42.96,58.61,14.41,0.7973
B038,37.24,41.94,1.341,11.88,1.17,10.64,16.92,25.58,37.676,0.8075
B039,38.35,41.87,0.933,11.69,3.01,9.58,17.19,26.07,43.089,0.8068
B040,23.94,52.92,1.119,13.46,6.8,27.79,44.05,65.96,13.23,0.8138
B041,29.29,46.7,1.727,6.92,7.35,21.2,32.18,50.11,17.656,0.7877
B042,23.05,56.51,1.44,11.83,7.39,27.56,45.05,65.13,12.732,0.8073
B043,29.86,47.83,1.939,13.42,3.75,20.08,28.32,47.5,20.472,0.8137
B044,23.45,52.04,1.054,13.74,6.38,30.05,44.56,67.05,12.152,0.815
B045,24.79,52.51,1.329,6.12,8.11,27.89,45.31,66.45,11.72,0.7845
B046,37.26,39.88,1.391,12.91,3.01,6.63,18.4,25.84,43.241,0.8116
B047,20.68,58.38,1.772,13.85,7.69,30.73,46.17,67.12,12.076,0.8154
B048,30.58,47.55,0.718,13.66,4.28,17.25,27.76,46.3,21.944,0.8146
