Polymer,Filler,Disintegrant,Hardness_kP,Q12h
0.2057,0.4528,0.3415,11.14,53.327
0.2465,0.5882,0.1653,8.5,56.784
0.3103,0.5089,0.1808,7.39,49.175
0.2212,0.5017,0.2772,8.15,53.307
0.2158,0.582,0.2023,11.07,57.646
0.3562,0.4651,0.1787,10.01,47.027
0.2728,0.6154,0.1118,10.29,56.078
0.2081,0.5604,0.2315,9.72,59.464
0.3201,0.5131,0.1668,8.65,49.314
0.2696,0.5471,0.1833,9.93,54.631
0.2032,0.5945,0.2023,12.53,61.238
0.3207,0.4602,0.2191,8.21,47.451
0.3364,0.3687,0.2949,11.4,46.466
0.2183,0.6326,0.1492,8.51,57.647
0.2015,0.5488,0.2497,8.16,56.507
0.3133,0.3981,0.2886,8.94,46.861
0.2594,0.4593,0.2813,7.56,47.847
0.228,0.4529,0.3191,12.61,51.849
0.224,0.5761,0.1999,9.19,57.72
0.2332,0.4045,0.3623,8.06,48.507
0.3337,0.4167,0.2496,7.0,44.409
0.209,0.5222,0.2687,7.36,54.238
0.2695,0.4918,0.2387,8.29,50.445
0.2341,0.5544,0.2115,9.51,56.129
0.4443,0.3668,0.1889,10.61,42.392
0.2108,0.6192,0.17,12.89,60.773
0.2301,0.4991,0.2708,12.34,54.01
0.2521,0.5945,0.1533,8.45,55.752
0.311,0.5269,0.162,10.67,52.211
0.2156,0.4115,0.3729,12.53,51.681
