batch,campaign,Polymer_pct,Hardness_kP,Lubricant_pct,Q12h
M001,C1,33.62,10.8,1.58,50.754
M002,C1,30.12,7.07,0.516,54.112
M003,C1,32.2,10.87,0.915,51.01
M004,C1,19.78,12.84,1.718,61.192
M005,C1,30.61,11.25,1.998,53.74
M006,C1,37.62,7.46,0.921,47.25
M007,C1,26.47,10.55,1.641,57.886
M008,C1,20.25,8.9,0.67,60.929
M009,C2,37.17,12.52,1.622,46.633
M010,C2,31.52,7.11,1.035,54.502
M011,C2,21.94,7.07,0.616,62.315
M012,C2,31.44,7.58,0.764,52.717
M013,C2,37.85,9.04,1.352,47.575
M014,C2,22.19,12.29,1.209,59.312
M015,C2,35.08,10.39,1.531,50.49
M016,C2,31.98,10.97,1.023,52.637
M017,C3,22.43,7.27,1.395,59.136
M018,C3,21.7,8.05,1.063,60.639
M019,C3,37.08,9.28,1.652,46.424
M020,C3,24.81,10.77,0.51,56.708
M021,C3,26.83,11.51,1.383,54.906
M022,C3,31.12,10.45,1.381,50.945
M023,C3,26.81,8.68,0.587,56.134
M024,C3,18.01,8.08,1.647,63.83
M025,C4,23.21,9.53,1.452,58.051
M026,C4,27.44,8.54,1.925,55.424
M027,C4,33.23,11.56,0.781,48.227
M028,C4,30.13,12.36,1.137,49.409
M029,C4,26.6,11.82,1.797,53.558
M030,C4,21.82,7.73,1.916,59.543
M031,C4,33.69,11.72,1.528,48.074
M032,C4,21.74,7.09,1.029,60.178
M033,C5,32.48,7.81,1.616,51.529
M034,C5,27.95,11.2,1.181,53.435
M035,C5,29.04,8.93,1.302,53.192
M036,C5,25.68,11.96,1.516,54.266
M037,C5,22.06,11.13,1.895,59.613
M038,C5,21.4,10.84,0.513,58.968
M039,C5,30.83,10.6,1.55,50.2
M040,C5,23.52,12.48,1.872,55.818
M041,C6,18.28,11.99,1.062,61.632
M042,C6,21.85,7.18,0.855,62.014
M043,C6,36.42,12.91,1.355,47.126
M044,C6,32.23,9.59,0.545,49.217
M045,C6,29.61,8.77,1.707,53.267
M046,C6,26.03,12.22,1.232,55.658
M047,C6,34.36,12.51,1.495,48.854
M048,C6,23.26,11.64,1.669,58.265
